"","songtitlesum","songlyricsum"
"1","마지막 노래","난 네게 말을 했지
내가 쓰는 노래는 이별을 담곤 해서
너를 향한 노래를 만들 일 없겠다고
약속을 했던 우리지만
오늘 나는 처음 너를 노래해
난 사실 알게 됐지
달라진 건 우리가 아니라 너였단걸
모르는 척 했지만
거짓을 말할 때
넌 같은 표정인걸 모를거야
너와 함께 매일 이별 준비야
우리가 사랑한 시간속에서
해맑게 웃던 널 난 간직할게
우리의 마지막 그 이별까지 아름답도록
이제 내가 퇴장할게 이렇게
너는 다시 웃어줘
오늘 난 많이 아파
걱정해주던 니가 떠올라
너도 자주 아팠던게 생각나
힘들지 말아달라 말했던
내 맘은 여전한걸
너와 함께 아직 살고 있나 봐
우리가 사랑한 시간속에서
해맑게 웃던 널 난 간직할게
우리의 마지막 그 이별까지 아름답도록
이제 내가 퇴장할게 이렇게
너는 다시 웃어줘
정말 행복했던 우리 사이가 어쩌다가
여기까지 와버렸을까
사랑아 나는 널
아직까지도 잊을 수 없는 걸
제발 기억해줘
우리의 마지막 그 이별마저 되돌리고파
내 가슴에 품고 살게 이렇게
너를 아직 사랑해"
"2","별을 담은 시 Ode To The Stars","니가 언젠가 말했잖아
나의 노래엔
마음을 움직이는 힘이 있다고
그날 너의 위로가 날 노래 부르게 했어
정말로 고마워 내게 용기를 줘서
우리 앞의 세계는
저마다의 색으로 기억되고
짧은 입맞춤처럼 너 안에 닿기를
찬란한 색 마음과
흑백 그리움들이 시가 되어
너란 별이 내려와 날 안아줘
내가 바라왔던 세상 위에서
넌 나의 꿈의 언어로
쓰여진 책속에
가장 예쁜 책갈피를 꽂아
영원히 읽어내고 싶은
이야기야
내가 분명히 말했잖아
나의 꿈만큼 빛나는 별을
노래에 담겠다고
그날 너를 향했던 진심은
계절을 버텨내
꽃으로 피어나 너에게 날아가
찬란한 색 마음과
흑백 그리움들이 시가 되어
너란 별이 내려와 날 안아줘
내가 바라왔던 세상 위에서
넌 나의 꿈의 언어로
쓰여진 책속에
가장 예쁜 책갈피를 꽂아
영원히 읽어내고 싶은
이야기야
어떤 날 누군가를 위해 부르는 노래
이 숨결이 날 품은 바람 되어
너에게 닿기를
찬란한 색 마음과
흑백 그리움들이 시가 되어
너란 별이 내려와 날 안아줘
내가 바라왔던 세상 위에서
넌 나의 꿈의 언어로
쓰여진 책속에
가장 예쁜 책갈피를 꽂아
영원히 읽어내고 싶은
이야기야"
"3","못하겠다 이별 Feat 12月","웃는 얼굴로 또 인사를 나눠
그래 그걸로 조금은
우리 아프지 않을 수 있을 거야
그렇게 거짓말을 해
이미 차가워진 사이라고
애써 마음을 속여보면 괜찮아질까
모든 추억을 버린다 해도
우리 아프지 않을 수 없을 거야
못 잊겠다 너를 이렇게 외면해봐도
안된다 자꾸 네가 피어나
결국 내가 너의 모든 것을 지워야겠지만
그마저 힘들다
못 하겠다 이별 마음을 달래봐도
안된다 더는 너무 아파서
만약 내가 너를 모두다 잊을 수만 있다면
난 할 수 있을까
이미 차가워진 사이라고
애써 마음을 속여보면 괜찮아질까
모든 추억을 버린다 해도
우리 아프지 않을 수 없을 거야
못 하겠다 이별 마음을 달래봐도
안된다 더는 너무 아파서
만약 내가 너를 모두다 잊을 수만 있다면
난 할 수 있을까
난 아직도 너를 그렇게 여전히 너를
잡을 수도 놓을 수도 없어
결국 내가 너의 모든 것을 지워야겠지만
그마저 힘들다
끝이라는걸 난 알고 있지만
안된다 더는 너무 아파서
만약 내가 너를 모두다 잊을 수만 있다면
난 할 수 있을까"
"4","우주비행 Feat Chan","우리의 우주선을 타고서
바라던 행성으로 떠나요
설레이는 그곳은 어떨지 궁금해요
그대가 바라는 그 곳으로
별빛들이 우릴 밝히잖아요
구름을 거쳐 우주속으로
오르고있어
우우우우
날 숨 쉬게하는
그대로 인해서
내 삶이 바뀌고
같은 공간에서
서로를 지켜주고
감싸 안아주는
그댄 너무 아름다워보여
내겐 너무나 빛나보여
표현할 수도 담을 수 없는
나를 위한 선물
우리의 우주선을 타고서
바라던 행성으로 떠나요
설레이는 그곳은 어떨지 궁금해요
그대가 바라는 그 곳으로
별빛들이 우릴 밝히잖아요
구름을 거쳐 우주속으로
오르고있어
우우우
you dont have to knock
우우우우
우주를 헤엄치듯 날아요
꿈꿔왔던 지금이 좋아요"
"5","여름별","어두운 밤하늘을
수없이 바라봤죠
나를 밝게 비춰줄
별 하나 내게 오길
이토록 바래 왔어요
짧은 순간였지만
내겐 가장 빛났던 그대죠
그토록 기다렸던
그대 나에게 왔을 때
내 소원은 이뤄졌죠
이젠 다시 기다려야 해요
다른 별이 떨어질 때까지
늘 외로이 하늘을 바라보면서
하염없이 난 기다려요
나를 밝혀줄 그 누군가를
그대와 같은 별이 떨어질까요
언제쯤 내게 그런 사람 올까요
그날이 오기까지 난 그댈 그리며
밤 하늘을 바라 봐요
이젠 다시 기다려야 해요
다른 별이 떨어질 때까지
늘 외로이 하늘을 바라보면서
하염없이 난 기다려요
나를 밝혀줄 그 누군가를
그대와 같은 별이 떨어질까요
언제쯤 내게 그런 사람 올까요
그날이 오기까지 난 그댈 그리며
밤 하늘을 바라 봐요
언젠가 그대 모습을 닮은
떨어지는 작은 별을 본 것만 같아요
혹시 그대일까봐
나의 작은 가슴 열어보지만
아무도 없네요
그대와 같은 별이 떨어질까요
언제쯤 내게 그런 사람 올까요
그날이 오기까지 난 그댈 그리며
밤 하늘을 바라 봐요
이렇게 그저 기다리면 될까요
외로운 마음 나는 어쩔 줄을 몰라서
여전히 난 또 그댈 그리며
밤 하늘을 바라 봐요
별 하나를 기다려요"
"6","묘해 너와 record","니 생각에 꽤 즐겁고
니 생각에 퍽 외로워
이상한 일이야 누굴 좋아한단 건
아무 일도 없는 저녁
집 앞을 걷다 밤 공기가 좋아서
뜬금없이 이렇게 니가 보고 싶어
참 묘한 일이야 사랑은
좋아서 그립고 그리워서 외로워져
이게 다 무슨 일일까
내 맘이 내 맘이 아닌걸
이제와 어떡해
모든 시간 모든 공간
내 주위엔 온통 너뿐인 것 같아 묘해
보고 싶어 신기하고
신기해서 보고 싶고
그러다 한 순간 미친 듯 불안하고
아무렇지도 않은데
햇살에 울컥 눈물이 날 것 같고
그러다가 니 전화 한 통에 다 낫고
참 묘한 일이야 사랑은
아파서 고맙고 고마워서 대견해져
이게 다 무슨 일일까
이 길이 그 길이 아닌걸
모르고 떠나온 여행처럼 낯설지만
그래서 한번 더 가보고 싶어져 너와
이렇게 너를 바라볼 때
뭐랄까 나는 행복한 채로 두려워져
참 묘한 일이야 사랑은
좋아서 그립고 그리워서 외로워져
이게 다 무슨 일일까
내 맘이 내 맘이 아닌걸
이제와 어떡해
모든 시간 모든 공간
내 주위엔 온통 너뿐인 것 같아 묘해
그래서 한번 더 가보고 싶어져 너와"
"7","너의 번호를 누르고 Prod 영화처럼","우연히 너를 만나서
너의 옆자리에 앉아
그렇게 우린 친해졌어
짧은 시간에 그렇게
가까워질 수 있다는게
그게 참 신기했어
소소한 일상부터
어린 시절 얘기 까지도
그리 똑같진 않아도
말이 참 잘 통해서
더 짧았던 거야
너의 번호를 누르고
설레임을 가득 채우다
너의 번호를 지우며
좋았던 시간을 덜어내
그때 난 왜 몰랐을까
이뤄질 수 없는
짧은 시간속의
우린 여기 까지인 가봐
어쩌다 먼 훗날에
그때 우리 약속 기억 날까
아쉬움만 가득했던
그때 난 왜 그랬을까
너의 번호를 누르고
설레임을 가득 채우다
너의 번호를 지우며
좋았던 시간을 덜어내
그때 난 왜 몰랐을까
이뤄질 수 없는
짧은 시간속의
우린 여기까지인 가봐
아무일 없이 살다보면
모두 잊혀질거라
또 맘을 속이고 달래도
자꾸만 그 때 니가 생각나
또 너를 부르게 돼
너의 번호를 누르고
설레임을 가득 채우다
너의 번호를 지우며
좋았던 시간을 덜어내
그때 난 왜 몰랐을까
이뤄질 수 없는
짧은 시간속의
스쳐가버린
그 때 그 시절 속의
우린 여기까지인 가봐"
"8","바보야 왜그래","마지막 인사도 없이
나를 떠나버리던 그날밤
그저 난 길을잃고 헤멨지
이렇게 쉽게 끝난 사랑
짧은 이별로 우리 사랑
어떻게 지워낼수 있니
도저히 난 자신이 없을 것 같아
어디 간건지 알수도 없어
널 찾고 싶었지만
내게 돌아오지 않을거라는걸
잘 알고 있어 난 두려워
바보야 너 왜그래
알면서 더 왜그래
헤어지면은 술에 취해
전화할거 알면서 그래
너 정말 왜그래
바보야 또 왜그래
잊지 못해 너란 사람 잊지 못한단걸
잊지마 우리 처음만나
봄비 내리던 그날인가
너의 집앞 첫 입맞춤의 그때를
벌써 어느새 겨울이 지나
봄이 또 찾아오네
네가 나를 떠난 그자리에서
난 너를 기다려 언제라도
바보야 너 왜그래
알면서 더 왜그래
헤어지면은 술에 취해
전화할거 알면서 그래
너 정말 왜그래
바보야 또 왜그래
잊지 못해 너란 사람 잊지 못한단걸
사랑할 자격 없었어 이기적인 나여서
이제야 알았어 이제야 느꼈어
후회뿐인 날
바보야 너 왜그래
알면서 더 왜그래
헤어지면은 술에 취해
전화할거 알면서 그래
너 정말 왜그래
바보야 또 왜그래
잊지 못해 너란 사람 잊지 못한단걸"
"9","둘이 있으니 좋다","나 안 힘들어
봐 웃고 있어
힘내라고 하지 마
충분히 힘 나니까
너 하나 보고
나 살 수 있어
미안하다 하지 마
그게 더 슬프니까
지친 하루 고단한 어깨
그건 내게 아무 일 아냐
방법이 있겠지 뭐
어떻게 되겠지
잠에 들 시간을 재면서
얼마나 더 사랑을 나눌 수 있나
쫓기듯 입 맞추는
이 행복한 저녁
둘이 있으니 좋다 그치
우리 오늘만 같자 둘이
조각조각 세상의 파편
그 가운데서
아늑하고 고요하게 꼭 안고
입김으로 데워주자
뭘 이런 걸로
봐 나 멀쩡해
불안해 좀 하지 마
감사하며 사니까
안 풀리고 버거운 날도
어차피 다 지나갈 거야
그렇게 살겠지
둘이면 된 거지
향긋한 아침에 눈을 떠
얼마나 더 껴안고 있을 수 있나
쫓기며 볼 부비는
이 행복한 아침
둘이 있으니 좋다 그치
우리 오늘만 같자 둘이
조각조각 세상의 파편
그 가운데서
아늑하고 고요하게 꼭 안고
입김으로 데워주자
어떤 일이 있어도
절대 포기만은 하지 말자
난 정말 네가 다치지 않고
살아있단 것 하나면 돼
둘이 있으니 좋다 그치
우리 오늘만 같자 둘이
조각조각 세상의 파편
그 가운데서
아늑하고 고요하게 꼭 안고
입김으로 데워주자"
"10","인셉션 feat 1ho  Chan","반복되는 사랑의 상처가 두려워서
점점 더 조심스러워져
자꾸 서툰표현과
감정의 조절이 잘 안돼서
걱정돼
우리 처음 시작은 좋았지
별로 다르지 않았는데
그날의 우리는 우
같은 생각 같은 마음이었어
너와 함께하는 매순간
예전과는 다른 느낌이었고
매번 같은 시간 같은 공간조차
나 너무 행복했는데
반복되는 사랑의 상처가 두려워서
점점 더 조심스러워져
자꾸 서툰표현과
감정의 조절이 잘 안돼서
걱정돼
가끔 지겹고 싫증이나도
자연스럽게 바라보는
그런 너였더라면
있는 그대로
우린 더 행복할수 있었을텐데
난 모르겠어
내가 왜이러는지 나 생각해봐도
늦은밤 널 생각하며 그리워해도
날 자책해도 달라질건 없는데
쓸데없는 욕심과 아쉬움이 남았네
지금 너가 내 곁이 아니라는게
싫고 짜증나 내 집착일까
사랑이 아니었을까
시간이 흐른뒤에
지금을 돌아본다면
그때는 이해할 수 있을까
조금은 다른 모습의
나로 달라질 수도 있겠지
아마 그땐"
"11","사랑 다 끝난 거야 Vocal 아현","사랑 다 끝난 거야
이렇게 끝인 거야
이대로 너를 보내주는 게
괜찮지 않아 괜찮지 않은데
울어도 소용없고
붙잡아도 소용없고
이젠 내 목소리가
너에겐 닿질 않는지
미안 한없이 가벼워진
너의 말투와 눈빛
더는 못 보겠어
차가운 바람에
마음이 아파와
자꾸 생각나
좋은 기억들은 잊어볼게
차라리 아주 나빴더라면
이별은 조금 쉬웠을까
이렇게 너도 아팠을까 너도
한때는 아름답던
너 없인 못 살겠던
순수했던 그때로
우린 돌아갈 수 없어
미안 이렇게 헤어지자
변해가는 네 모습
더는 못 보겠어
차가운 바람에
마음이 아파와
자꾸 생각나
좋은 기억들은 잊어볼게
차라리 아주 나빴더라면
이별은 조금 쉬웠을까
이렇게 너도 나만큼은 아픈 거니
차가운 바람이 불어와
기억들을 날려 보내
잊을게 오늘은 잊어볼게
사랑하지 않은 것처럼
이별하지 않은 것처럼
사랑 다 끝난 거야
이렇게 끝인 거야
그때로 돌아갈 수는 없어
괜찮을 거야 괜찮아질 거야 제발"
"12","미련 Feat 안녕","어딘가 달라진 너의 표정
괜히 불안한 마음 그땐
모른 척 했어
너무 태연한 듯 이별을 내게 말하는
낯설기만 했던 마지막을
멀어져가는 너를 어떻게도
돌릴 수 없는데 워
그때의 너로 돌아와준다면
뭐든 다 할텐데 워
떠나간 너를 더 잡지 못하고
그대로 잊혀지자 또 다짐해봐도
슬픈 이별 다
거짓말이라고 외쳐봐도
들리지 않는 말 널 사랑해
한참을 서성인 너의 집앞
혹시 네가 나올까
작은 기대도 했어
결국 너를 볼 수 없었던 나였기에
후회로 가득찬 마지막을
멀어져가는 너를 어떻게도
돌릴 수 없는데 워
그때의 너로 돌아와준다면
뭐든 다 할텐데 워
떠나간 너를 더 잡지 못하고
그대로 잊혀지자 또 다짐해봐도
슬픈 이별 다
거짓말이라고 외쳐봐도
들리지 않는 말 널 사랑해
그렇게 나를 잊을까봐
미련이 또 너를 붙잡아서 워
떠나간 너를 잊어야하는데
이대로 돌아서면 마지막일까봐
우리 이별 다
거짓말이라고 외쳐봐도
닿을 수 없는 말 널 사랑해
떠나간 너를 잊어야하는데
이대로 돌아서면 마지막일까봐
우리 이별 다
거짓말이라고 외쳐봐도
닿을 수 없는 말 널 사랑해"
"13","이런 이별도 있어","우리 손을 꼭 잡고
어디든 걷는 걸 좋아했어
늘 서로만 바라보던 그때
정말 좋았는데
가끔 한강에 앉아서
맥주 한 잔에 나눈 얘기들
속상해 울기도 하고
실컷 웃기도 했던
내겐 좋은 추억뿐인데
그랬던 우리는 서로 그래
조금씩 달라진 거 같아
평소와 다르게 그렇게
조금씩 우린 멀어진 거 같아
그래 언제부터인가
늘 잡던 손도 어색해졌어
좀 차가워진 말투와 뜸해지는 문자들
조금 낯설게 느껴질 만큼
이렇게 우리는 서로 그래
조금씩 달라진 거 같아
평소와 다르게 그렇게
조금씩 우린 멀어진 거 같아
서로가 한마디 말도 없이
확신한 듯 다 알고 있는 듯
어떠한 변명도
아무런 이유도 없어
그렇게 우리는 서로 그래
조금씩 이별한 거 같아
준비된 것처럼 그렇게 조금씩
우린 이별한 거 같아
눈물은 나는데 오히려 편안해
이런이별도있어"
"14","생각이 난다 원곡 안녕","우연히 길을 걷다 발을 멈췄어
너와 함께 자주 가던 곳
그 자리야
벌써 몇 년 전 일이니
왜 하필 네 생각이 났니
좋아하는 노래를 잔뜩 부르고
여기 가게에 꼭 들렀지
그 자리야
아직 그대로 잘 있네
나는 잘 있지를 못한데
기억하니
우리 처음 만났던 날
참 재미없는 영활봤지
그럼에도
뭐가 그리 좋았는지
쉴새 없이 얘길 나눴어
너와 잠시 멀어져 있을 때에도
난 여기에 자주 들렀지
생각나서
네 생각 하고 싶어서
옛 생각도 참 많이 난다
기억하니
두 번째 몰래 만난 날
뜬금없는 고백을 했지
서툴던 내
말투가 우스웠는지
밤새 너는 날 놀려댔지
생각하면 별 것 없었던 첫사랑
아픈 기억 하나 없는데
그런데 왜
그게 더 화가 나는지
우린 왜 일찍 만났는지
이 가게에 오니
네 생각이 난다
널 다시 만나는 중이다"
"15","하루만 더 내게 시간을 줄 순 없겠니 Feat 12月","우리 헤어진 그 날 뒤로
울며 너를 잡아보았던 나를
서툰 내 감정을 정리 못 한 말들로
펑펑 울며 너에게 얘기했어
모든 게 다 내 잘못이었다고
상처 주려 했던 게 아니라고
혼자 남겨지는 게
너무나 무서워서
내 감정을 앞세워 널
다시 잡게 됐어
하루만 더 내게 시간을 줄 수 있니
아직은 나 준비가
안 된 거 같아서 미안해
아직 못다 한 말이
내 겐 많이 남아있는데
하루만 더 내게
시간을 줄 순 없겠니
지금 당장은 너무 힘들다고
괜찮아지면 그땐 보낸다고
너를 사랑한 만큼
너를 잊어내기가
아직 나에겐 벅찬 일이라
기다려 달라고
하루만 더 내게 시간을 줄 수 있니
아직은 나 준비가
안 된 거 같아서 미안해
아직 못다 한 말이
내 겐 많이 남아있는데
하루만 더 내게
시간을 줄 순 없겠니
지금이라도 난 괜찮으니까
혹시라도 후회하고 있던 거라면
난 괜찮아 너에겐
난 항상 괜찮을 테니까
내게로 돌아와 네 자리는 여기니까
하루만 더 시간을 줄 순 없겠니
하루라도 더 곁에 머물다 가도 되니
아직 혼자이기엔
나 아직 너무 무서워서
아직 못다 한 말이
내 겐 많이 남아있는데
하루만 더 내게
시간을 줄 순 없겠니"
