"","songtitlesum","songlyricsum"
"16","니가 떠난 그날부터","수줍은 첫 만남
나를 보며 웃었던
그 날의 기억
오늘따라 내겐
또렷하게
처음 고백 했을때
떨리던 날 바라본
그대 눈빛은
사랑스러운
답장이었죠
함께라서
세상 모든게
아름다워
어떤 것도
해낼 수 있다
다짐했는데
그런 우린 어디로
네가 떠난 그날부터
매일 죽어가
네가 남긴 흔적들만
품에 안고서
이렇게 돼 버린 나를
보면 어떨까
아직까지 아직까지
난 놓지 못했어 너를
단 한순간도
행복할땐
너무 빨랐던
시간들이
지금 내가
쓰러져가는
이유가 될까
그런 우릴 그린다
네가 떠난 그날부터
매일 죽어가
네가 남긴 흔적들만
품에 안고서
이렇게 돼 버린 나를
보면 어떨까
아직까진 아직까진
난 놓지 못했어 너를
단 한순간도
후회하고 있다고
이렇게 돼 버린걸
그날부터 난 벗어나지 못해
사랑했어
사랑했어
그 말을 좀 더 해줄껄
너를 만나서 정말 행복했어
나도 따라 떠나갈게
너의 곁으로
우리 모든 추억들을
영원으로 가
이제 다신 이별없는
사랑만 하자
보고싶어 보고싶어
난 지금 당장도 너를
기다려줄래"
"17","너를 그린 우주 Insomnia2020 Feat 이라온","잠들기 전
눈을 감으면
떠오르는 이름 하나
깊은 새벽
오랜 생각을 만드네
넌 어쩜 그리 예쁘면서
성격도 좋은지
널 감싸는 빛 나까지도
빛나게 하는지
내가 꿈꿔왔던
꿈과 드디어 만난 거야
난 밤이 오면
니 생각에 잠이 오지 않아
그래도 설레임에 일찍 눈을 떠
나도 모르게 내 안으로 들어와
날이 갈수록 점점 맘은 깊어지는데
술 마시는 날이면 더 보고 싶고
날씨 좋으면 함께 놀러 가고 싶어
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에
그대 눈 코 입
그대 목소리
내 길고 긴 하루의 시작과 끝엔
언제나 니가 찾아와
나의 우주는 이미 너에게로
넌 어쩜 그리 웃는 모습이
아름다운지
날 감싼 어둠까지
모두 잊게 만드는지
너 모르길 바랬지만
이젠 들키고 싶은걸
난 밤이 오면
니 생각에 잠이 오지 않아
그래도 설레임에 일찍 눈을 떠
나도 모르게 내 안으로 들어와
날이 갈수록 점점 맘은 깊어지는데
술 마시는 날이면 더 보고 싶고
날씨 좋으면 함께 놀러 가고 싶어
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에
난 네게 전화해
가끔 그냥 뭐하냐고 실없이 묻지만
맘은 그게 아닌걸
사실 머릿속은 하얗고
가슴은 두근거렸어
사랑해
너의 모든 게 아름다워
잠 못 드는 밤 설레이는 밤
열린 창문 밖으로 날아가
너를 안고 싶어
난 밤이 오면
니 생각에 잠이 오지 않아
그래도 설레임에 일찍 눈을 떠
나도 모르게 내 안으로 들어와
날이 갈수록 점점 맘은 깊어지는데
술 마시는 날이면 더 보고 싶고
날씨 좋으면 함께 놀러 가고 싶어
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에"
"18","잠이 오지 않는 새벽 feat 머쉬멜로우","잠들지 못하고 뒤척이다
어느새 새벽이야
네가 내 생각하고 있다면 얼마나 좋을까
힘겨운 날들 나의 두 손 꼭잡아 줄래
다 괜찮다 해줘 모든게 잘 될거라 해줘
차가운 새벽의 온도처럼
시리게 느껴진 건
힘겨워 버틸수 없을만큼 지쳐서였을까
한없이 울던 나의 모습 보이기 싫어
다 괜찮다해줘 모든게 잘 될거라 해줘
버겁기만 했었던 그런 모든 일들도
시간이 지나면 된다고 사람들은 말하지
나는 아직 힘든데 날 위해 기도해줘
날 위해 기도해줘"
"19","변했어","너 참 변했어
점점 더 말이 없어져
나만 알던 너의 눈엔
이젠 내가 안 보여
왜 날 피하는데
바빠진 거 아는데
언제부턴가 네 일들이
나보다 더 중요해진 것만 같아서
나를 바라보던 눈빛이 변했어
나를 안아주던 포근했던 네 품이
다 변했어 달라졌어
나를 불러주던 따뜻한 목소리가
언젠지 기억이 안 나
바보처럼 나만 알던 네가 그리워
내 손 꼭 잡고
어디든 함께 다니던
참 서툴러도 설레었던
그날들이 좋았어
영원이란 건
없다는 걸 알지만
언제부턴가 네 옆의 내가
너무나 당연해진 것만 같아서
나를 바라보던 눈빛이 변했어
나를 안아주던 포근했던 네 품이
다 변했어 달라졌어
나를 불러주던 따뜻한 목소리가
언젠지 기억이 안 나
바보처럼 나만 사랑했던
둘만으로 세상이 가득했던
사랑 하나로 충분했던
그때의 우리가 부러워
나만 사랑한단 약속도 변했어
내가 그렇게도 믿어왔던 모든 게
다 변했어 다 끝났어
다시 돌아갈 수 없는 그때 우리가
너무나 그리워도
이젠 나 너를 놓아줘야 하나 봐"
"20","숨 쉴 수 없어 Prod 영화처럼","말하고 싶은데
어딘가 막혀버려서
굳게 닫혀진 내 마음 더는
움직일 수 없어요
진심이 어떤 건가요
어떻게 볼 수 있나요
아픔이 두려워 어디로도
난 갈 수 없어요
그냥 내게 말을 해줘
모두 내 탓이라면
차라리 놓을 수라도 있게
미련하게 또 남겨져
숨 쉴 수조차 없이
아무 말 못 하는 내가
이젠 말하고 싶은데
내 맘속 새겨진 그 말
슬픔에 갇혀버린 내 모습
보기 싫을까 봐
그냥 내게 말을 해줘
모두 내 탓이라면
차라리 놓을 수라도 있게
미련하게 또 남겨져
숨 쉴 수조차 없이
아무 말 못 하는 내가
늘 그랬던 것처럼
괜찮은 척 잘 지내도
나도 모르게 찾아와 워어어
그냥 내게 말을 해줘
모두 내 탓이라면
차라리 놓을 수라도 있게
미련하게 또 남겨져
숨 쉴 수조차 없이
아무 말 못 하는 내가
자꾸 더 멀어져 가는
그댈 잡을 수 없이
아무 말 못 하는 내가"
"21","널 사랑한다 안한다 Prod 리트너","널 사랑한다 안한다
오늘도 혼자 하는 말
이게 참 뭐라고
나 혼자 이렇게
망설이는 걸까
널 사랑한다 안한다
이렇게 혼자 하는 말
사랑이 뭐라고
어린 아이처럼
굳어버리는지
내 맘을 몰라줄까봐
괜한 심술을 부려도
항상 웃으며 다가오는 너
그래 오늘은 너에게
말을 해야만 하는데
한마디도 떼지 못하는 나
널 사랑한다 안한다
그리워한다 안한다
정하지 못하는 맘
홀로 삼키는 이 맘
너는 내겐 너무나 벅차니까
또 보고싶다 말해도
맘 속에서만 울려와
말할 수 없는 그 말
홀로 삼키는 이 말
널 사랑한다 안한다
내 맘 너에게 들킬까
무심한 표정 지어도
먼저 인사를 건네 오는 너
그래 오늘은 너에게
말을 해야만 하는데
한마디도 떼지 못하는 나
널 사랑한다 안한다
그리워한다 안한다
정하지 못하는 맘
홀로 삼키는 이 맘
너는 내겐 너무나 벅차니까
또 보고싶다 말해도
맘 속에서만 울려와
말할 수 없는 그 말
홀로 삼키는 이 말
널 사랑한다 안한다
사랑한다 안한다"
"22","너의 여음 With 전소현","하늘에 너의 얼굴이 떠오른다
바람에 너의 웃음이 들려온다
무수한 별의 물결을 따라 네가 온다
마음 한켠이 쿵 내려앉는다
두근대는 마음 새로 내게 속삭인다
자꾸 간지럽힌다 나는 눈을 감는다
저 멀리 너의 뒷모습이 보이면
나는 왠지 눈물이 날 것 같아
사랑한단 말로는
한참 모자랄 벅찬 마음
내가 이렇게
너를 사랑해도 되는 걸까
무수한 별을 선 이어보면 네가 온다
머릿속 가득 폭 자리 잡는다
일렁이는 구름새로 내게 걸어온다
소리 없이 웃는다 기어이 날 울린다
달보다 하얀 너의 미소를 볼 때면
나는 왠지 한없이 겁이 난다
아른한 너는 이리도 깊고
시리도록 맑아서
너의 여음이
내게 이토록 이토록 길구나
하늘에 너의 얼굴이 떠오른다
바람에 너의 웃음이 들려온다"
"23","버릇처럼 셋을 센다","아침이면 버릇처럼 눈을 감고
셋을 센다 셋을 세고 눈을 뜨면
영화 같은 일이 생길까
하날 세고 둘을 세고 긴 한숨에
셋을 세고 잊혀진다 지워진다
매일같이 반복해
이렇게 잊고 지낼 자신이 없어
무뎌지기를 바랄 뿐이야
바쁘게 아무렇지 않은 척
그렇게라도 노력 중이야
바람이 좀 서늘해진 늦은 밤
너라는 추억들을 데려와
널 잊어보려고
힘겹게 밀어낸 기억이
다시 내 곁을 맴돌아
거리마다 들려오는 노랫말이
하나같이 내 얘기 같아 미치겠다
아직도 눈물이 나
차라리 보이지도 들리지 않으면
나 조금은 살만할 텐데
나라는 사람은 너로 물들어
죽기 전엔 똑같을 거야
바람이 좀 서늘해진 늦은 밤
너라는 추억들을 데려와
널 잊어보려고 밀어냈던 기억이
다시 내 곁을 맴돌아
귓가에 아련한 듯한 속삭임
추억은 흩날리는듯 흩어져
너라는 최면에 걸린 듯
다시 되돌아가
네가 옆에 있던 그 날로
우리가 사랑했던
사랑은 또 사랑으로 잊는데
이별은 긴 시간으로 아문데
말처럼 쉬워서 생각처럼 됐다면
이렇게 힘들지 않아
우리가 행복했던 추억들
우리가 웃고 울던 기억들
밀어내려고 나 할수록
다시 되돌아가
네가 옆에 있던 그 날로
우리가 사랑했던
오늘도 나 버릇처럼 셋을 센다"
"24","처음이라서","떨어질 줄 몰랐던 너의 품도
잡은 손에 스치던 봄바람도
떨리던 입맞춤도 맞춰 걷던 걸음도
내겐 모두 처음이라서
고된 하루 끝을 토닥여 준 것도
작은 편지로 큰 눈물을 준 것도
벚꽃과 여름바다 단풍과 함박눈이
처음이라서 힘든가 봐
나의 첫 사람이 내 첫사랑이 너라서
처음이라서 유난히 아픈가 봐
시간이 지나면 다 무뎌지는 날
언젠가 오겠지
그때까지만 더 아파해볼게
누군가를 위한 노랠 부른 것도
세상에 누군가를 자랑한 것도
너를 떠올리는 게
나를 떠올리는 일이 되는 게
익숙해져 버려서
나의 첫 사람이 내 첫사랑이 너라서
처음이라서 유난히 아픈가 봐
시간이 지나면 널 보며 웃는 날
언젠가 오겠지
그때까지만 더 아파해볼게
사실은 겁이 나 이젠
어딜 가도 너와의 추억만 있을까 봐
그래도 처음이라
힘든 거니까 더 아픈 거니까
처음엔 다 그런 거니까
고생했어 많이 행복했었어 너라서
다 너라서 유난히 좋았나 봐
시간이 지나면 먼 추억이 되어
언젠간 웃겠지 참 좋았어 네가
내 처음이라서"
"25","보내야 할 때 보낼 수 있을까 Vocal 박한솔","보내야 할 때 보낼 수 있을까
쉽게 받아들일 수 있니
나는 그게 잘 안돼
이별이 그렇게 쉬울 수 있니
어떻게 이럴 수 있어
눈을 가리고
하늘을 보는 기분이야
나 정말 받아들일 수 없어
아직도 넌 내 앞에
다시 달려와 줄 것만 같은데
떠나는 그 순간 나의 모든 걸
잃어버린 것 같아
제발 부탁이야 다시 내게 돌아와
꽉 붙들고 있는 손 이제는
점점 차가워져만 가는데
가슴속의 조그만 빛줄기
모두 사라져만 가는데
햇살 속에 웃는 네 모습이
지금도 난 아른거리는데
아직도 난 못해준 말들이
남아있는데
어디서부터 잘못되었을까
매일 밤 지우려다
이내 따뜻한
네 말이 귓가에 맴돌아
나 아직도 너를 보낼 수 없어
지금도 넌 내 곁에
다시 돌아와 줄 것만 같은데
아무 일 없는 듯
다시 그 약속 지켜 가자고 말해
제발 부탁이야 다시 내게 돌아와
꽉 붙들고 있는 손 이제는
점점 차가워져만 가는데
가슴속의 조그만 빛줄기
모두 사라져만 가는데
햇살 속에 웃는 네 모습이
지금도 난 아른거리는데
아직도 난 못해준 말들이
남아있는데
널 위해 가장 멋진 모습으로
상처 없이 보낼 수 있을까
꽉 붙들고 있는 손 이제는
점점 차가워져만 가는데
가슴속의 조그만 빛줄기
모두 사라져만 가는데
햇살 속에 웃는 네 모습이
지금도 난 아른거리는데
아직도 난 못해준 말들이
남아있는데"
"26","행복하지 않아","그래 웃고 있구나
잘 지내냔 말이 무색할 만큼 말야
너는 좋겠다 너무 쉬워서
나는 그렇지 못해
아마 지금쯤 너는
어딘가의 골목길에서 그 사람과
도란도란 또 이야기하며
미소 짓겠지 나는 없듯이
아냐 행복하지 않아 난
행복하지 않을거야 난
너 보라고 아프라고
잘 지내지 말라고
너만 행복하지 말아줘
보란듯이 웃지 말아줘
난 이렇게 울고 있는데
아 그랬었구나
너에게 난 지고피는 저
수많은 꽃들 중
하나였구나
그저 그 뿐이구나
넌 나에게만 유일했구나
아냐 행복하지 않아 난
행복하지 않을거야 난
너 보라고 아프라고
잘 지내지 말라고
너만 행복하지 말아줘
보란듯이 웃지 말아줘
난 이렇게 울고 있는데
새까맣게 젖어가는 나의 밤인데
달빛마저 내게 닿지 않는 밤인데
구름뒤에 가려 돌아오지 않는 널
애타게 불러 이렇게 불러
아냐 행복하지 않아 난
행복하지 않을거야 난
너 보라고 아프라고
잘 지내지 말라고
너만 행복하지 말아줘
보란듯이 웃지 말아줘
난 이렇게 울고 있는데
그러니 다시 돌아와"
"27","기억 안녕 feat 오반","아마 넌 그런 생각에 있겠지 너 없이
나는 버티지 못할 거라고
사실 나 그게 두려워서 피했었나 봐
이렇게 우린 끝났다는 걸
마지막
Hush ma baby
이제는 그만할까
울었어
함께했던 기억들 버린 안녕
Tararado
Tararado
Tararado
Tararado
I just wanna say good bye
Tararado
Tararado
Tararado
Tararado
그래 너 없이 하루 보내는 것도 내겐
낯설어 익숙할 수 없겠지
억지로 붙잡아왔던 이 많은 시간이
결국 널 변하게만 했나 봐
마지막
Hush ma baby 이제는 그만할까
울었어
함께했던 기억들 버린 안녕
Tararado
Tararado
Tararado
Tararado
I just wanna say goodbye
Tararado
Tararado
Tararado
Tararado
Dont say good bye
우리 관계가
억지였어도 상관없어 난
너와 나 우린 사랑하잖아
넌 하루도 빼지 않고서 울지만
이 전활 끊고 나면
후회하진 않을까
우린 서로가 아직 필요해
마지막에 아마 난 다를 거야
꼭 웃어볼 거야 참 수고 많았어
마지막에 아마 넌 놀랄 거야
참 달라진 날 보면서
Tararado
Tararado
Would you start it over
good bye forever
Tararado
Tararado
I just wanna say good bye
Tararado
Tararado
Tararado
Tararado
Just the way you are
On my own"
"28","왜 너를 모르고","왜 넌 나를 버리고
너의 마음을 숨기고
핑계를 대고 날 떠났을까
넌 내 마음을 알면서
여기 있는 나를 알면서
그럴듯한 얘기들로
그런줄도 모르는 나는
하염없이 너를 기다리고
무거운 공기만 가득한 허공에
너를 부르고 있네
난 널 그리다 또
너를 불러보고 허우적대다
닿을 수 없는 수많은 말들로 나는
계속 너를 부르다 음
왜 나는 너를 보내고
너의 마음을 모르고
멀어져버린 너를 왜 몰랐을까
넌 내 마음을 알면서
여기 있는 나를 알면서
그럴듯한 얘기들로"
"29","다들 어떻게 이별하나요 With 무감각","아무렇지 않은 듯
사람들을 만나고
애써 웃음 짓곤
또 밤을 설치죠
너라는 존재가
단 한 번도 없던 것처럼
그렇게 지내면
시간은 가네요
아무도 아무것도
나는 소용없어요
다른 사랑으로
잊힌단 말도
다 거짓말이죠
다들 어떻게 이별하나요
모두 어떻게 이겨냈나요
나만 홀로 바닷속에 버려져
숨이 막혀오는데
언젠간 이 모든 게 끝나기는 하나요
오늘과 가까운
순간부터 잊으려
끝내 지우지 못한
기억을 꺼냈죠
어리석었던 나
왜 너를 듣지 못했는지
후회가 번져와
또 망가지네요
아무도 아무것도
믿고 싶지 않아요
시간이 해결해준단 말도
다 거짓말이죠
다들 어떻게 이별하나요
모두 어떻게 이겨냈나요
발버둥 쳐도 좀처럼
헤어 나오지 못할 아픔인데
이렇게까지 힘든 게 맞나요
우리 이대로 끝인 거라면
정말 이런 게 이별이라면
다신 사랑 안 할래요
내가 아는 모든 것들이 온통
모든 세상이 전부
무너진 것 같아요"
"30","이별하기 좋은 날씨","올해 봄은 꽃도 빨리 지고
하늘이 높아
이렇게 파란 하늘을 보며
우리 이별해야 해
항상 온 몸으로 붙잡던
나 처음으로 너에게
오늘 마지막으로 만나
덤덤하게 말했어
농담처럼 웃었어
마치 내일 만날 것처럼
항상 끝난게 우리 진짜
끝난게 아니지
늘 괴롭히고 몰아쳐도
차마 하지 못한 말
이렇게 좋은 날 해야 하니
이별하기 좋은 날씨
이별하기 좋은 날씨
너무 하늘이 예뻐 눈물이 날 날씨
이별하기 좋은 날씨
이별하기 좋은 날씨
계속 쳐다보게만 되는 날씨
4월은 잔인하지 않은지 풍경이 좋대
이렇게 많은 사람들 속에
우리 이별해야 해
항상 함께 있고 싶던 신림
그 사과나무 카페에
오늘 마지막 만나려고
여기 너를 불렀어
날은 점점 저물고
이제 몇 시간도 남지 않았어
우리 오늘 이후 정말
못 보는게 안 믿겨
이 짧은 시간 동안 우리
뭘 하는게 좋을까
시간은 초조하게 가는데
이별하기 좋은 날씨
이별하기 좋은 날씨
너무 하늘이 예뻐 눈물이 날 날씨
이별하기 좋은 날씨
이별하기 좋은 날씨
계속 쳐다보게만 되는 날씨
마지막으로 붙잡을까
멋지게 돌아설까 나 사실 말야
못난 내 맘은 단 한번도
어느 누군가를 이렇게
아름답게 보낸 적 없는데
이별하기 좋은 날씨
이별하기 좋은 날씨
널 만나기 좋은 날씨
널 만나기 좋은 날씨
많은 추억들에 눈물이 날 날씨
널 만나러 가는 날씨
두 번 다시 못 만날 날씨
계속 쳐다보게만 되는 날씨
평생 내 눈에 넣고 싶은 날씨"
